# gunzip -c ./align/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py ../../../kaldi/eval_pron_v3/model/word_unit/lang/ 
# Started at Wed Jan 17 12:39:02 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,38.3,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (47,40.5,50) frames.
Overall, nonsilence accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
Overall, sil accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (35,52.8,163) frames.
Overall, T_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,18) frames.
Overall, IH_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,11) frames.
Overall, AH_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
Overall, N_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,8) frames.
Overall, EH_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,11) frames.
Overall, IH_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,7) frames.
Overall, D_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, L_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,12) frames.
Overall, IY_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.4,22) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,16) frames.
Overall, T_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, R_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,8) frames.
Overall, DH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,7) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
Overall, AE_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,17) frames.
Overall, ER_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,17) frames.
Overall, M_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,10) frames.
Overall, AH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,7) frames.
Overall, HH_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,14) frames.
Overall, AE_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,13) frames.
Overall, AH_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,5) frames.
Overall, L_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,8) frames.
Overall, S_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,17) frames.
Overall, Z_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
Overall, K_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,14) frames.
Overall, AA_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,14) frames.
Overall, D_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, F_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,14) frames.
Overall, AY_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,17) frames.
Overall, R_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,16) frames.
Overall, S_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, T_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,15) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.1,17) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.5,6) frames.
Overall, N_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,10) frames.
Overall, P_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,14) frames.
Overall, S_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,11) frames.
Overall, ER_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,17) frames.
Overall, NG_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,17) frames.
Overall, OW_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.6,21) frames.
Overall, AY_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.7,13) frames.
Overall, OW_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.2,20) frames.
Overall, AO_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,11) frames.
Overall, EY_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,13) frames.
Overall, UW_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,11) frames.
